regime,split,block,truth_positive,n,TP,FP,TN,FN,TP_rate,FP_rate,TN_rate,FN_rate,false_rejection_rate,false_nonrejection_rate
regime1_uniform_prior_alpha_equal,train,A2_outcome_disc,False,20,0,17,3,0,0.0,0.85,0.15,0.0,0.85,
regime1_uniform_prior_alpha_equal,train,A2_outcome_clarity,False,20,0,18,2,0,0.0,0.9,0.1,0.0,0.9,
regime1_uniform_prior_alpha_equal,train,A2_outcome_len,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime1_uniform_prior_alpha_equal,train,A2_outcome_full,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime1_uniform_prior_alpha_equal,test,A2_outcome_disc,False,20,0,3,17,0,0.0,0.15,0.85,0.0,0.15,
regime1_uniform_prior_alpha_equal,test,A2_outcome_clarity,False,20,0,5,15,0,0.0,0.25,0.75,0.0,0.25,
regime1_uniform_prior_alpha_equal,test,A2_outcome_len,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime1_uniform_prior_alpha_equal,test,A2_outcome_full,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime2_prior_shift_alpha_equal,train,A2_outcome_disc,False,20,0,10,10,0,0.0,0.5,0.5,0.0,0.5,
regime2_prior_shift_alpha_equal,train,A2_outcome_clarity,False,20,0,17,3,0,0.0,0.85,0.15,0.0,0.85,
regime2_prior_shift_alpha_equal,train,A2_outcome_len,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime2_prior_shift_alpha_equal,train,A2_outcome_full,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime2_prior_shift_alpha_equal,test,A2_outcome_disc,False,20,0,0,20,0,0.0,0.0,1.0,0.0,0.0,
regime2_prior_shift_alpha_equal,test,A2_outcome_clarity,False,20,0,4,16,0,0.0,0.2,0.8,0.0,0.2,
regime2_prior_shift_alpha_equal,test,A2_outcome_len,False,20,0,19,1,0,0.0,0.95,0.05,0.0,0.95,
regime2_prior_shift_alpha_equal,test,A2_outcome_full,False,20,0,20,0,0,0.0,1.0,0.0,0.0,1.0,
regime3_prior_shift_alpha_hetero,train,A2_outcome_disc,True,20,18,0,0,2,0.9,0.0,0.0,0.1,,0.1
regime3_prior_shift_alpha_hetero,train,A2_outcome_clarity,True,20,17,0,0,3,0.85,0.0,0.0,0.15,,0.15
regime3_prior_shift_alpha_hetero,train,A2_outcome_len,True,20,20,0,0,0,1.0,0.0,0.0,0.0,,0.0
regime3_prior_shift_alpha_hetero,train,A2_outcome_full,True,20,20,0,0,0,1.0,0.0,0.0,0.0,,0.0
regime3_prior_shift_alpha_hetero,test,A2_outcome_disc,True,20,3,0,0,17,0.15,0.0,0.0,0.85,,0.85
regime3_prior_shift_alpha_hetero,test,A2_outcome_clarity,True,20,5,0,0,15,0.25,0.0,0.0,0.75,,0.75
regime3_prior_shift_alpha_hetero,test,A2_outcome_len,True,20,17,0,0,3,0.85,0.0,0.0,0.15,,0.15
regime3_prior_shift_alpha_hetero,test,A2_outcome_full,True,20,20,0,0,0,1.0,0.0,0.0,0.0,,0.0
regime4_uniform_prior_alpha_equal_len_cost_only,train,A2_outcome_disc,False,20,0,5,15,0,0.0,0.25,0.75,0.0,0.25,
regime4_uniform_prior_alpha_equal_len_cost_only,train,A2_outcome_clarity,False,20,0,8,12,0,0.0,0.4,0.6,0.0,0.4,
regime4_uniform_prior_alpha_equal_len_cost_only,train,A2_outcome_len,False,20,0,1,19,0,0.0,0.05,0.95,0.0,0.05,
regime4_uniform_prior_alpha_equal_len_cost_only,train,A2_outcome_full,False,20,0,14,6,0,0.0,0.7,0.3,0.0,0.7,
regime4_uniform_prior_alpha_equal_len_cost_only,test,A2_outcome_disc,False,20,0,2,18,0,0.0,0.1,0.9,0.0,0.1,
regime4_uniform_prior_alpha_equal_len_cost_only,test,A2_outcome_clarity,False,20,0,1,19,0,0.0,0.05,0.95,0.0,0.05,
regime4_uniform_prior_alpha_equal_len_cost_only,test,A2_outcome_len,False,20,0,1,19,0,0.0,0.05,0.95,0.0,0.05,
regime4_uniform_prior_alpha_equal_len_cost_only,test,A2_outcome_full,False,20,0,0,20,0,0.0,0.0,1.0,0.0,0.0,
