violation,K_far,split,block,reject_rate,mean_stat,median_p,n
candidate_set_size,15,test,A2_outcome_clarity,0.05,1.7545224119905705,0.6062556668205634,20
candidate_set_size,15,test,A2_outcome_disc,0.1,1.869370648166095,0.6630913399074825,20
candidate_set_size,15,test,A2_outcome_full,0.0,7.478530193938977,0.22277743694172986,20
candidate_set_size,15,test,A2_outcome_len,0.05,1.8310631174521,0.43477279088398396,20
candidate_set_size,15,test,A5_outcome_base,0.05,1.8443277730734835,0.5333712779563158,20
candidate_set_size,15,test,A5_outcome|A2_outcome_full,0.05,1.9425958106370764,0.43259680539042583,20
candidate_set_size,15,train,A2_outcome_clarity,0.4,5.6878538013059385,0.13532286399928256,20
candidate_set_size,15,train,A2_outcome_disc,0.25,5.28384344661651,0.14653407063407087,20
candidate_set_size,15,train,A2_outcome_full,0.7,15.790783819370873,0.010062106318992625,20
candidate_set_size,15,train,A2_outcome_len,0.05,1.9413635747066469,0.46664549598694816,20
candidate_set_size,15,train,A5_outcome_base,0.2,3.839627036904006,0.23660309040571015,20
candidate_set_size,15,train,A5_outcome|A2_outcome_full,0.05,2.5324040109600925,0.37323480764513434,20
candidate_set_size,12,test,A2_outcome_clarity,0.05,1.9912345391715707,0.6084612086254231,20
candidate_set_size,12,test,A2_outcome_disc,0.05,1.8109070984383435,0.6244170202005443,20
candidate_set_size,12,test,A2_outcome_full,0.1,7.548798374136217,0.30181603188026307,20
candidate_set_size,12,test,A2_outcome_len,0.05,2.125319829824491,0.4537239989431495,20
candidate_set_size,12,test,A5_outcome_base,0.05,2.558980723051051,0.43294942231060995,20
candidate_set_size,12,test,A5_outcome|A2_outcome_full,0.1,2.2412136027316043,0.5330610789499933,20
candidate_set_size,12,train,A2_outcome_clarity,0.4,4.779862886042632,0.08577583969665037,20
candidate_set_size,12,train,A2_outcome_disc,0.25,5.526228410866096,0.13976238549677505,20
candidate_set_size,12,train,A2_outcome_full,0.6,14.275513950645722,0.032580010143650806,20
candidate_set_size,12,train,A2_outcome_len,0.0,1.4362421441412607,0.5809833970043266,20
candidate_set_size,12,train,A5_outcome_base,0.15,3.2630706595160617,0.32918237084668867,20
candidate_set_size,12,train,A5_outcome|A2_outcome_full,0.0,1.8930900996087705,0.4920458148601703,20
candidate_set_size,9,test,A2_outcome_clarity,0.05,2.1381101167382814,0.4532050715754425,20
candidate_set_size,9,test,A2_outcome_disc,0.1,2.099268590013535,0.46216935028007494,20
candidate_set_size,9,test,A2_outcome_full,0.15,7.718319925259221,0.2864162848722835,20
candidate_set_size,9,test,A2_outcome_len,0.0,2.3178642799885685,0.3887981140741874,20
candidate_set_size,9,test,A5_outcome_base,0.05,2.0170402543566444,0.5912019212922099,20
candidate_set_size,9,test,A5_outcome|A2_outcome_full,0.05,1.5800650308162596,0.6189133324368143,20
candidate_set_size,9,train,A2_outcome_clarity,0.3,5.144984504499003,0.11380247471212679,20
candidate_set_size,9,train,A2_outcome_disc,0.25,5.246327693008171,0.1420223870509138,20
candidate_set_size,9,train,A2_outcome_full,0.7,15.160568476009663,0.02655302081495836,20
candidate_set_size,9,train,A2_outcome_len,0.0,1.3323585267665754,0.6076579701980459,20
candidate_set_size,9,train,A5_outcome_base,0.1,3.5107976577447433,0.2342674205030994,20
candidate_set_size,9,train,A5_outcome|A2_outcome_full,0.1,2.213184652647943,0.3870140650670959,20
candidate_set_size,6,test,A2_outcome_clarity,0.1,1.9649432230972337,0.5636232753066093,20
candidate_set_size,6,test,A2_outcome_disc,0.05,1.7879603441515903,0.6269065425697335,20
candidate_set_size,6,test,A2_outcome_full,0.0,8.238929191748138,0.2053697895538361,20
candidate_set_size,6,test,A2_outcome_len,0.0,2.337323036744368,0.3676927739604223,20
candidate_set_size,6,test,A5_outcome_base,0.05,1.7040879750652191,0.5948402385221123,20
candidate_set_size,6,test,A5_outcome|A2_outcome_full,0.05,2.084718110660245,0.5903091400502171,20
candidate_set_size,6,train,A2_outcome_clarity,0.4,4.556644527841402,0.14881501025993416,20
candidate_set_size,6,train,A2_outcome_disc,0.25,5.510504248149104,0.12552666864581125,20
candidate_set_size,6,train,A2_outcome_full,0.5,14.39463094825176,0.04987250753892475,20
candidate_set_size,6,train,A2_outcome_len,0.0,1.555974717489551,0.5605531532541631,20
candidate_set_size,6,train,A5_outcome_base,0.05,2.579835076266457,0.37085391206893675,20
candidate_set_size,6,train,A5_outcome|A2_outcome_full,0.05,2.287987491427665,0.40034215354249436,20
