bin_lo,bin_hi,count
-1.3482661250550212,-1.0518512371760869,333
-1.0518512371760869,-0.7554363492971523,9588
-0.7554363492971523,-0.45902146141821787,8911
-0.45902146141821787,-0.16260657353928343,4113
-0.16260657353928343,0.1338083143396509,6615
0.1338083143396509,0.43022320221858545,5131
0.43022320221858545,0.72663809009752,3279
0.72663809009752,1.0230529779764543,2016
1.0230529779764543,1.3194678658553887,1447
1.3194678658553887,1.615882753734323,1158
1.615882753734323,1.9122976416132578,907
1.9122976416132578,2.208712529492192,758
2.208712529492192,2.5051274173711264,532
2.5051274173711264,2.801542305250061,384
2.801542305250061,3.0979571931289955,267
3.0979571931289955,3.39437208100793,225
3.39437208100793,3.690786968886864,166
3.690786968886864,3.9872018567657985,118
3.9872018567657985,4.283616744644733,84
4.283616744644733,4.580031632523667,63
4.580031632523667,4.876446520402602,40
4.876446520402602,5.172861408281537,30
5.172861408281537,5.469276296160471,20
5.469276296160471,5.765691184039405,13
5.765691184039405,6.06210607191834,6
6.06210607191834,6.358520959797274,4
6.358520959797274,6.654935847676208,2
6.654935847676208,6.951350735555144,3
6.951350735555144,7.247765623434077,0
7.247765623434077,7.544180511313012,1
